ID,Sentence,TW1,TW2,TW3,TW4,TW5,Question,VarName9,VarName10,VarName11,VarName12,answ,nchar,nword,hasQuest,Zstring,same_len,z_answ,zStr
1,"The couple bought another carpet for their living room before returning home from shopping.","bought","carpet","their","room","returning",What did the couple buy?,a carpet,vegetables,insurance,a turtle,1,91,14,1,Szz zzzzzz zzzzzz zzzzzzz zzzzzz zzz zzzzz zzzzzz zzzz zzzszz zzzzzzzsz zzzz zzsz szzzzzzzz,1,5,Zzz zzzzzz zzzzzz zozzzzz zzzzzz zzz zzzzz zzzzzz zzzz zzzzzz zzzzzzzzz zzzz zzzz zzzzzzzzz
2,"Theodore eventually found the right road after getting lost twice driving his car in the area.","found","right","after","lost","driving",What was Theodore doing?,drinking water,driving his car,snorkeling,sleeping,2,94,16,1,Zzzszzzz zzzzzzzzsz zzszz zzz zzszz zzzz zzzzz zzzzzzz zzzz zzszz zzzzzzz zzz zzz zz szz zzzzz,1,6,Zzzzzzzz zzzzzzzzzz zzzzz zzz zzzzz zzzz zzzzz zzzzozz zzzz zzzzz zzzzzzz zzz zzz zz zzo zzzzz
3,"Carmen couldn't find her yellow shirt when she unpacked her clothes from the trip.","find","yellow","when","unpacked","clothes",What did Carmen lose?,her lunch,her toaster,her shirt,her memory,3,82,14,1,Zzzzzs zzzzzzzs zzzs szz zzzzzz zzzsz zzzs zzz zszzzzzz zzz zzzzzzz zzzz zzz zzzzz,1,7,Zzzzzz zzzzzzzz zzzz zoz zzzzzz zzzzz zzoz zzz zzzzzzzz zzz zzzzzzz zzzz zoz zzzzz
4,"His mother purchased the crimson cottage after going through many online ads for a summer home.","purchased","crimson","after","through","online",What did his mother buy?,a cucumber,a private plane,a tomato,a cottage,4,95,16,1,Zsz zzzzsz szzzzzzzz szz zzzzzzz zzzzszz zzszz zzszz zzzzzzz zzzz zzzzzz zzz zzz z zzzzzz zzszz,1,8,Zzz zzzzzz zzzzzzzzz zzo zzzzzzz zozzzzz zzzzz zzzzz zzzzzzz zzzz zzozzz zzz zzo z zzzzzz zzzzz
5,"The teenagers used the private area behind the apartments to practise playing basketball.","used","private","behind","apartments","practise",What were the teenagers playing?,basketball,Pokemon Go,hide and seek,power rangers,1,89,13,1,Zzz zzzzszzzz zzzz zzz zzzzzsz zzzz zzzzzz zsz zzzzzzzzzz sz zzzzzzzz zzzzzzz zszzzzzzzzz,1,5,Zzz zzzzzzzzz ozzz zzz zzzzzzz zzzz zzzzzz zzz zzzzzzzzzz zz zzzzzzzz zzzzzzz zzzzzzzzzzz
6,"When the issue was discovered, the employee unwisely took the blame for the incident.","issue","discovered,","employee","took","blame",Who took blame for the incident?,the Prime Minister,the employee,the President,the Queen,2,85,14,1,Zzzz szz zzzzs szz zzszzzzzzzz zzz zzzzzszz zzzzzzzz zzzz zzz zzzzz zzz zsz zzzzzzzzz,1,6,Zzzz ozz zzzzz zzz zzzzzzozzzz zzz zzzzzzzz zzzzzzzz zzzz zzz zzzzz zzz zzz zzzzzzzzz
7,"The officer started his investigation by questioning any witnesses who might have seen the perpetrator.","started","investigation","questioning","witnesses","might",Who did the officer question?,the President,the homeless,the witnesses,the politicians,3,103,15,1,Zzz zzzzzzz zzzzzzs zsz zzzzzzzszzzzz sz zzzzzzzzzzz zzz zzzzzszzz zzz zzszz zszz zzzz zzz zzzzzzzzzzzz,1,7,Zzz zzzozzz zzzzzzz zzo zzzzzzzzzzzzz zz zzzzzzzzzzz zzz zzzzzzzzz ozz zzzzz zzzz zzzz zzz zzzzzzzzzzzz
8,"Susan contemplated buying the antique painting when she visited the auction house in the capital.","buying","antique","when","visited","auction",What did Susan visit?,a dog shelter,Disneyland,Africa,an auction house,4,97,15,1,Szzzz szzzzzzzzzzz zzzzzs zsz szzzzzz zzzzzzzz zzzz zzs zzzzzzz zzz zzzzzzz zzzzs zs zzz zzzzzzzz,1,8,Zzzzz zzzozzzzzzzz zzzzzz zzz zzzzozz zzzzzzzz zzzz zzz zozzzzz zzo zzzzzzz zzzzz zz zzz zzzzzzzz
9,"The young author didn’t realise that writing her article would cause so much controversy.","author","realise","writing","article","cause",What did she write?,an article,a cheque,her age,her name,1,89,14,1,Zzz zzzzz zzzszz zzzzzz zzzzzzz zzzz zzzzzzz zzz zzzszzz zzzzz zzzzz zs szzz zzzzzzzzzzsz,1,5,Zzz zzzzz zzzzzo zzzzzz zzzzzzz zzzz zzzzzzz zzz zzzzzzz zzzzz zzzzz zz zzzz zzzzzzzzzzzz
10,"Cathy was nervous about giving the short speech before the panel of judges.","nervous","giving","short","before","panel",What did Cathy give?,a present,a speech,her car,her TV,2,75,13,1,Zzzzz zzs zzzzzzz zszzz zszzzz zzz szzzz zzzzzz zzzzzz zzz zzzzs zs zzzzzzz,1,6,Zzzzz zzz zzzzzzz zzzzz zzzzzz zzo zzzzz zzzzzz ozzzzz zzz zzzzz zz zzzzzzz
