ID	Sentence	TW1	TW2	TW3	TW4	TW5	Question	?1	?2	?3	?4	answ	nchar	nword	hasQuest	Zstring	same_len	z_answ	no_cap
1	The couple bought another carpet for their living room before returning home from shopping.	bought	carpet	their	room	returning	What did the couple buy?	a carpet	vegetables	insurance	a turtle	1	91	14	1	Zzz zzzzzz zzzzzz zozzzzz zzzzzz zzz zzzzz zzzzzz zzzz zzzzzz zzzzzzzzz zzzz zzzz zzzzzzzzz	1	1	0
2	Theodore eventually found the right road after getting lost twice driving his car in the area.	found	right	after	lost	driving	What was Theodore doing?	drinking water	driving his car	snorkeling	sleeping	2	94	16	1	Zzzzzzzz zzzzzzzzzz zzzzz zzz zzzzz zzzz zzzzz zzzzozz zzzz zzzzz zzzzzzz zzz zzz zz zzo zzzzz	1	2	0
3	Carmen couldn't find her yellow shirt when she unpacked her clothes from the trip.	find	yellow	when	unpacked	clothes	What did Carmen lose?	her lunch	her toaster	her shirt	her memory	3	82	14	1	Zzzzzz zzzzzzzz zzzz zoz zzzzzz zzzzz zzoz zzz zzzzzzzz zzz zzzzzzz zzzz zoz zzzzz	1	3	0
4	His mother purchased the crimson cottage after going through many online ads for a summer home.	purchased	crimson	after	through	online	What did his mother buy?	a cucumber	a private plane	a tomato	a cottage	4	95	16	1	Zzz zzzzzz zzzzzzzzz zzo zzzzzzz zozzzzz zzzzz zzzzz zzzzzzz zzzz zzozzz zzz zzo z zzzzzz zzzzz	1	4	0
5	The teenagers used the private area behind the apartments to practise playing basketball.	used	private	behind	apartments	practise	What were the teenagers playing?	basketball	Pokemon Go	hide and seek	power rangers	1	89	13	1	Zzz zzzzzzzzz ozzz zzz zzzzzzz zzzz zzzzzz zzz zzzzzzzzzz zz zzzzzzzz zzzzzzz zzzzzzzzzzz	1	1	0
6	When the issue was discovered, the employee unwisely took the blame for the incident.	issue	discovered,	employee	took	blame	Who took blame for the incident?	the Prime Minister	the employee	the President	the Queen	2	85	14	1	Zzzz ozz zzzzz zzz zzzzzzozzzz zzz zzzzzzzz zzzzzzzz zzzz zzz zzzzz zzz zzz zzzzzzzzz	1	2	0
7	The officer started his investigation by questioning any witnesses who might have seen the perpetrator.	started	investigation	questioning	witnesses	might	Who did the officer question?	the President	the homeless	the witnesses	the politicians	3	103	15	1	Zzz zzzozzz zzzzzzz zzo zzzzzzzzzzzzz zz zzzzzzzzzzz zzz zzzzzzzzz ozz zzzzz zzzz zzzz zzz zzzzzzzzzzzz	1	3	0
8	Susan contemplated buying the antique painting when she visited the auction house in the capital.	buying	antique	when	visited	auction	What did Susan visit?	a dog shelter	Disneyland	Africa	an auction house	4	97	15	1	Zzzzz zzzozzzzzzzz zzzzzz zzz zzzzozz zzzzzzzz zzzz zzz zozzzzz zzo zzzzzzz zzzzz zz zzz zzzzzzzz	1	4	0
9	The young author didn’t realise that writing her article would cause so much controversy.	author	realise	writing	article	cause	What did she write?	an article	a cheque	her age	her name	1	89	14	1	Zzz zzzzz zzzzzo zzzzzz zzzzzzz zzzz zzzzzzz zzz zzzzzzz zzzzz zzzzz zz zzzz zzzzzzzzzzzz	1	1	0
10	Cathy was nervous about giving the short speech before the panel of judges.	nervous	giving	short	before	panel	What did Cathy give?	a present	a speech	her car	her TV	2	75	13	1	Zzzzz zzz zzzzzzz zzzzz zzzzzz zzo zzzzz zzzzzz ozzzzz zzz zzzzz zz zzzzzzz	1	2	0
11	The loud construction noise annoyed many residents, who preferred to spend a quiet afternoon at home.	construction	annoyed	residents,	preferred	spend	What annoyed many residents?	the seagulls	the bad weather	the loud noise	the polluted air	3	101	16	1	Zzz zzzz zzzzzzzzzzzz zozzz zzzzozz zzzz zzzzzzzzzz zzz zzzzzzzzo zz zzzzz z zzzzz zzzzzzzzz zz zzzzz	1	3	0
12	The midwife admired the serene baby following the difficult birth earlier in the day.	admired	serene	following	difficult	earlier	What did the midwife admire?	a flower	a dress	a cat	a baby	4	85	14	1	Zzz zzzzzzo zzzzzzz ozz zzzzzz zzzz zzzzzzzzz zzo zzzzzzzzz zzzzz zzzzzzz zo zzz zzzz	1	4	0
13	For the position, only competent and experienced candidates would be invited for an interview.	position,	competent	experienced	would	invited							94	14	0	Zzz zzz zzzzzzzzz zzzz zzzzzzzzz zzo zzzzzzzzzzz zzzzzzzzzz zzzzz zz zzzzzzz zzz zz zzzzzzzzzz	1	1	0
14	The new hotel had impressive dining halls that featured expensive pieces of art.	hotel	impressive	halls	featured	pieces							80	13	0	Zzz ozz zzzzz zzz zzzzzzzzzz zzzzzz zzzzz zzzz zzzzzzzz zzzzzzzzz zzzzoz zz zzzz	1	2	0
15	The lawyers criticised the latest report because it provided no useful evidence for the case.	criticised	latest	because	provided	useful							93	15	0	Zzz zzzzzzz zzzozzzzzz zoz zzzzzz zzzzzz zzzozzz zz zzzzzzzz zz zzzzzz zzzzzzzz zzz zzz zzzzz	1	3	0
16	The forecast warned about strong winds, accompanied by occasional rain, throughout most of the day.	warned	strong	accompanied	occasional	throughout							99	15	0	Zzz zzzzzzzz zzzozz zzzzz ozzzzz zzzzzz zzzzzzzzzzz zz zzzozzzzzz zzzzz zzzzzzzzzz zzoz zz zzz zzzz	1	4	0
17	They debated whether using better surveillance equipment would deter potential thieves and improve security.	whether	better	equipment	deter	thieves							108	14	0	Zzzz zzzzzzz zzzzzzz zzzoz zzzzzz zzzzzzzzzzzz zzzzzzzzz zzzzz zzzzz zzzzzzzzz zzzzzzz zzz zzzzzzz zzzzzzzzz	1	1	0
18	The cook ordered the fresh organic fruits to support the farmers who produce them locally.	ordered	fresh	fruits	support	farmers							90	15	0	Zzz ozzz zzzzzzz zzo zzzzz zzzzzzz zzzzzz zz zzzzzzz zzz zzzzzzz zzz zzzzzzz zzzz zzzzzzzz	1	2	0
19	The child pestered the yellow fish that was hiding behind pondweed leaves in the aquarium.	pestered	yellow	that	hiding	pondweed							90	15	0	Zzz zzzzz zzzzzzzo zoz zzzzzz zzzz zzzz zzo zzzzzz zzzzzz zzzzzzzz zzzzzz zz zzz zzzzzzzzz	1	3	0
20	The witness remembered very clearly the brown leather jacket that belonged to the suspect.	remembered	clearly	brown	jacket	belonged							90	14	0	Zzz zzzzzzz zzzzzozzzz zzzz zzzzzzz ozz zzzzz ozzzzzz zzzzzz zzzz zzzzzzzz zz zzz zzzzzzzo	1	4	0
21	The detective noted the evasive statement that Sam gave to explain his suspicious behaviour.	noted	evasive	that	gave	explain							92	14	0	Zzz zzzzzzzzz zzzzz zzz zzzzzzz zzzzzzzoz zzzz Zzz zzzz zz zzzzzzz zzz zzzzzzzzzz zzzzzzzzzz	1	1	0
22	The mayor stepped down after his insensitive comments created a social media scandal.	stepped	after	insensitive	created	social							85	13	0	Zzz zzzzz zzzzzzz zzzz zzzzz zzz zzzzzzzzzzz zzozzzzz zzzzzzz z zzzzzz zozzz zzzzzzzz	1	2	0
23	The waitress assured the customer that every food item was prepared from fresh ingredients.	assured	customer	every	item	prepared							91	14	0	Zzz zzzzzozz zzzzzzz zzz zzzzzzzz ozzz zzzzz zzzz zzzz zzo zzzzzzzz zzzz zzzzz zzzzzzzzzzzz	1	3	0
24	The players remained focused despite initially losing the first three rounds of the game.	remained	despite	losing	first	rounds							89	14	0	Zzz zzzozzz zzzzzzzz zzozzzz zzzzzzz zzzzzzzzz zzozzz zzz zzzzz ozzzz zzzzzz zz zzz zzzzz	1	4	0
